code,name,descr,rsncat_code,lang_code,is_active,cr_by,cr_dtimes
GPM,பாலினம்-புகைப்பட மிஸ்மேட்ச்,பாலினம் மற்றும் புகைப்பட இடையே பாலினம்-புகைப்பட மிஸ்மேட்ச்,CLR,tam,TRUE,superadmin,now()
IAD,தவறான முகவரி,தவறான முகவரி கிடைத்தது,CLR,tam,TRUE,superadmin,now()
DPG,பிரதி பதிவு,பிரதி பதிவு காணப்பட்டது,CLR,tam,TRUE,superadmin,now()
OTH,மற்றவைகள்,மற்றவைகள்,CLR,tam,TRUE,superadmin,now()
ADM,அனைத்து விவரங்கள் பொருந்தும் உள்ளன,அனைத்து விவரங்கள் பொருந்தும் உள்ளன,MNA,tam,TRUE,superadmin,now()
ADD,அனைத்து மக்கள்தொகை விவரங்கள் பொருந்துவதை உள்ளன,அனைத்து மக்கள்தொகை விவரங்கள் பொருந்துவதை உள்ளன,MNA,tam,TRUE,superadmin,now()
OPM,ஒரே புகைப்படம் பொருந்துவதை உள்ளது,ஒரே புகைப்படம் பொருந்துவதை உள்ளது,MNA,tam,TRUE,superadmin,now()
SDM,மக்கள்தொகை விவரங்கள் சில பொருந்தும் உள்ளன,மக்கள்தொகை விவரங்கள் சில பொருந்தும் உள்ளன,MNA,tam,TRUE,superadmin,now()
APM,ವಯಸ್ಸು-ಫೋಟೋ ಹೊಂದಾಣಿಕೆಯಾಗದಿರುವಿಕೆ,ವಯಸ್ಸು ಮತ್ತು ಫೋಟೋ ನಡುವಿನ ಅಸಾಮರಸ್ಯವು,CLR,kan,TRUE,superadmin,now()
GPM,ಲಿಂಗ-ಫೋಟೋ ಹೊಂದಾಣಿಕೆಯಾಗದಿರುವಿಕೆ,ಲಿಂಗ ಮತ್ತು ಫೋಟೋ ನಡುವೆ ಲಿಂಗ-ಫೋಟೋ ಹೊಂದಾಣಿಕೆಯಾಗದಿರುವಿಕೆ,CLR,kan,TRUE,superadmin,now()
IAD,ಅಮಾನ್ಯ ವಿಳಾಸ,ಅಮಾನ್ಯವಾದ ವಿಳಾಸ ದೊರೆತಿದೆ,CLR,kan,TRUE,superadmin,now()
DPG,ನಕಲು ನೋಂದಣಿ,ನಕಲು ನೋಂದಣಿ ಫೌಂಡ್,CLR,kan,TRUE,superadmin,now()
OTH,ಇತರೆ,ಇತರೆ,CLR,kan,TRUE,superadmin,now()
ADM,ಎಲ್ಲಾ ವಿವರಗಳು ಹೊಂದಾಣಿಕೆಯ ಇವೆ,ಎಲ್ಲಾ ವಿವರಗಳು ಹೊಂದಾಣಿಕೆಯ ಇವೆ,MNA,kan,TRUE,superadmin,now()
ADD,ಎಲ್ಲಾ ಜನಸಂಖ್ಯಾ ವಿವರಗಳು ಬರೆಯುವುದು ಇವೆ,ಎಲ್ಲಾ ಜನಸಂಖ್ಯಾ ವಿವರಗಳು ಬರೆಯುವುದು ಇವೆ,MNA,kan,TRUE,superadmin,now()
OPM,ಮಾತ್ರ ಛಾಯಾಚಿತ್ರ ಬರೆಯುವುದು ಆಗಿದೆ,ಮಾತ್ರ ಛಾಯಾಚಿತ್ರ ಬರೆಯುವುದು ಆಗಿದೆ,MNA,kan,TRUE,superadmin,now()
SDM,ಜನಸಂಖ್ಯಾ ವಿವರಗಳು ಕೆಲವು ಹೊಂದಾಣಿಕೆಯ ಮಾಡಲಾಗುತ್ತದೆ,ಜನಸಂಖ್ಯಾ ವಿವರಗಳು ಕೆಲವು ಹೊಂದಾಣಿಕೆಯ ಮಾಡಲಾಗುತ್ತದೆ,MNA,kan,TRUE,superadmin,now()
